word,count
app,445
bank,131
good,117
best,77
banking,76
use,63
work,49
mobile,48
dashen,47
like,46
update,42
nice,41
working,41
time,40
money,38
doesn,38
application,37
super,36
easy,35
worst,35
fast,32
great,30
cbe,29
fix,29
ethiopia,28
service,28
excellent,26
apps,26
need,26
amazing,25
boa,25
user,25
open,24
slow,24
phone,23
account,23
transfer,22
experience,22
new,21
make,21
really,20
better,20
developer,20
using,20
access,19
transaction,19
problem,18
works,18
love,18
features,17
just,17
don,17
options,17
friendly,17
used,16
does,16
times,16
thank,16
step,15
transactions,15
issue,15
pin,15
says,14
branch,14
bad,14
try,14
needs,13
send,13
option,13
loading,12
telebirr,12
turn,12
ui,12
banks,12
simple,12
takes,12
digital,12
otp,11
design,11
load,11
services,11
reliable,11
balance,11
financial,11
ve,11
android,10
crashes,10
amole,10
thanks,10
version,10
long,10
password,10
perfect,10
issues,10
know,10
makes,10
mode,9
birr,9
job,9
ethiopian,9
help,9
updated,9
big,9
check,9
security,9
days,9
secure,9
improve,8
interface,8
login,8
improved,8
keeps,8
day,8
months,8
connection,8
useful,8
ahead,8
updates,7
going,7
useless,7
available,7
log,7
transfers,7
far,7
error,7
wow,7
frustrating,7
network,7
device,7
lot,7
properly,7
history,7
change,7
card,7
visit,7
bug,7
automatically,7
think,7
seen,7
country,7
star,7
customers,7
number,7
choice,7
different,6
trying,6
did,6
appreciate,6
updating,6
happy,6
game,6
smart,6
difficult,6
exceptional,6
txn,6
impressive,6
kind,6
important,6
feature,6
users,6
pls,6
qr,6
recent,6
connect,6
functional,6
code,6
bugs,6
problems,6
seamless,6
awesome,6
convenient,6
atm,6
abyssinia,6
thing,6
payment,6
possible,6
add,6
accounts,6
multiple,5
fails,5
instead,5
unreliable,5
transferring,5
feel,5
improvements,5
fantastic,5
way,5
truly,5
totally,5
leave,5
latest,5
modern,5
button,5
shame,5
say,5
overall,5
stops,5
things,5
solve,5
switch,5
couldn,5
daily,5
data,5
dark,5
customer,5
people,5
performance,5
smooth,5
sim,5
stopped,5
sending,5
poor,5
point,5
place,5
complete,5
right,5
commercial,5
withdraw,5
changer,5
worest,5
allow,5
able,5
getting,5
verification,4
wise,4
50,4
wallet,4
fine,4
highly,4
activate,4
hope,4
enter,4
requires,4
charge,4
repeatedly,4
kindly,4
immediately,4
failure,4
years,4
yes,4
clear,4
incredibly,4
proud,4
zero,4
tried,4
gave,4
statement,4
start,4
dashin,4
having,4
screenshot,4
living,4
didn,4
download,4
nearest,4
opening,4
safe,4
page,4
business,4
buy,4
cache,4
deserves,4
dont,4
said,4
longer,4
enabled,4
loved,4
asap,4
effortless,4
live,4
enhance,4
disable,4
recently,4
receipt,4
recommend,4
consider,4
refresh,4
compared,4
showing,4
convenience,4
designed,4
superapp,4
sync,4
guys,4
fixed,4
airtime,4
want,4
address,4
frequently,4
functionality,4
experienced,4
expected,4
ux,4
100,4
payments,4
stop,4
old,4
definitely,4
constantly,3
international,3
especially,3
view,3
active,3
actually,3
ways,3
forever,3
freezes,3
forward,3
innovation,3
final,3
wonderful,3
2025,3
vpn,3
interesting,3
isn,3
joke,3
internet,3
language,3
care,3
improvement,3
request,3
response,3
reviews,3
review,3
reset,3
won,3
feels,3
ethio,3
clean,3
provides,3
include,3
horrible,3
idea,3
awash,3
ask,3
asks,3
asking,3
lost,3
direct,3
competitive,3
compatible,3
completely,3
dev,3
message,3
minutes,3
navigation,3
crush,3
asked,3
unable,3
tele,3
unless,3
uninstalled,3
type,3
looks,3
transferred,3
trash,3
save,3
sector,3
unbelievable,3
recents,3
recipient,3
recommended,3
prefer,3
previous,3
let,3
lazy,3
efficiently,3
life,3
link,3
soon,3
opened,3
stars,3
started,3
speed,3
current,3
decent,3
person,3
blah,3
continue,3
office,3
suddenly,3
tell,3
attractive,3
annoying,3
settings,3
tasks,3
supper,3
sure,3
switched,3
biometric,3
strong,3
high,3
allowed,3
function,3
got,3
apk,3
galaxy,3
write,3
absolutely,3
week,3
worse,3
extended,3
face,3
extremely,3
functioning,3
future,3
accept,2
funds,2
freezing,2
glitch,2
glitches,2
abroad,2
human,2
holders,2
expect,2
experiences,2
alot,2
ago,2
10,2
ussd,2
upgrade,2
ur,2
basis,2
beautiful,2
suggestion,2
suitable,2
stunning,2
gallery,2
globally,2
goes,2
gives,2
giving,2
fees,2
fear,2
head,2
hello,2
true,2
dedication,2
delay,2
date,2
online,2
nowadays,2
nise,2
non,2
night,2
cool,2
correctly,2
cost,2
support,2
setting,2
sent,2
self,2
cash,2
cashless,2
cbebirr,2
century,2
theme,2
terrible,2
test,2
text,2
appear,2
tired,2
tnx,2
told,2
timely,2
struggles,2
outside,2
perfectly,2
patience,2
pay,2
plus,2
phones,2
physically,2
simplest,2
size,2
shows,2
sign,2
smoother,2
smoothly,2
sms,2
social,2
slowest,2
stack,2
staffs,2
specially,2
society,2
despite,2
deposit,2
maybe,2
digitalyworld,2
developers,2
meets,2
mess,2
names,2
cleared,2
clearly,2
click,2
clients,2
process,2
product,2
optional,2
crashing,2
crushed,2
organized,2
oromo,2
software,2
called,2
calling,2
came,2
screen,2
rule,2
sad,2
secured,2
seeing,2
scanner,2
downloaded,2
downloading,2
unavailable,2
unlimited,2
unfair,2
ultimate,2
arrived,2
list,2
losing,2
low,2
logo,2
mb,2
means,2
meet,2
making,2
manage,2
management,2
embarrassing,2
empowering,2
email,2
easily,2
left,2
launch,2
launched,2
encountered,2
letting,2
lifestyle,2
light,2
lightning,2
leading,2
directly,2
disabled,2
disappointing,2
provide,2
company,2
rating,2
real,2
reason,2
raised,2
rarely,2
refunded,2
received,2
confirmation,2
complain,2
platform,2
consistently,2
professional,2
previously,2
pro,2
poorly,2
limit,2
limited,2
excited,2
everytime,2
example,2
ios,2
instant,2
inter,2
key,2
efficiency,2
efficient,2
lately,2
known,2
lacks,2
lag,2
faster,2
facing,2
failed,2
fair,2
improving,2
impossible,2
vat,2
year,2
ck,2
changed,2
restriction,2
result,2
resetting,2
respond,2
boring,2
bring,2
come,2
comes,2
closed,2
closes,2
codes,2
rate,2
install,2
inconvenient,2
incorrect,2
incredible,2
essential,2
ensure,2
filled,2
fee,2
feedback,2
honest,2
helpful,2
absolute,2
fixing,2
forced,2
forces,2
weeks,2
went,2
waste,2
fully,2
freedom,2
activation,2
finish,2
additional,2
ignored,2
addition,2
hours,2
huge,2
adding,2
actual,2
15,2
verry,2
11,2
woooow,1
22,1
24,1
25,1
2567,1
2fa,1
30,1
300,1
3gb,1
4g,1
4gb,1
4times,1
woow,1
worck,1
word,1
worked,1
workflow,1
world,1
wowwwe,1
wrong,1
wweeeer,1
wworld,1
wwwerrr,1
ye,1
abissinya,1
abraahim,1
vist,1
visual,1
visually,1
waaaaaaaw,1
wait,1
waited,1
waiting,1
wallets,1
500,1
accessible,1
according,1
accross,1
activated,1
actively,1
activity,1
added,1
viry,1
yeet,1
yesterday,1
yilal,1
yitnehew,1
yuuuuu,1
zenebe,1
zinaa,1
verifies,1
verifying,1
versions,1
vertual,1
vety,1
vey,1
viewing,1
virtual,1
hacker,1
half,1
happened,1
happening,1
hardly,1
hardworking,1
hasasa,1
hasn,1
gove0,1
granted,1
greatest,1
greedy,1
greqt,1
grows,1
gui,1
guinea,1
gey,1
gift,1
girja,1
given,1
gmail,1
god,1
goode,1
goodness,1
gammachisa,1
gap,1
gazillion,1
generate,1
generation,1
genuine,1
genuinely,1
gets,1
fingertips,1
finishing,1
fir,1
helping,1
hetter,1
hidding,1
higher,1
highl,1
feet,1
feshay,1
fetures,1
filling,1
finally,1
finance,1
finances,1
finger,1
fastest,1
fastly,1
fastness,1
fav,1
favorable,1
favorite,1
favourite,1
feed,1
hassen,1
hastle,1
hate,1
haven,1
hayelu,1
hayizgi,1
heavy,1
hell,1
failing,1
fake,1
famous,1
fanancial,1
fastandrelevant,1
im,1
images,1
imidetliy,1
expired,1
explane,1
expressing,1
eyita,1
f15,1
faced,1
fact,1
factions,1
hussen,1
ib,1
ibsa,1
icc,1
identify,1
idiot,1
expanded,1
experiment,1
himem,1
hire,1
home,1
honestly,1
hopeless,1
humans,1
hurts,1
husen,1
evry,1
ewdihiliw,1
exact,1
exciting,1
exellent,1
exist,1
existence,1
exists,1
errors,1
esimirt,1
essay,1
essy,1
ethical,1
everyday,1
evolve,1
evolved,1
infact,1
infinx,1
initialization,1
initiate,1
insignificant,1
entered,1
enterprise,1
entreated,1
implement,1
impressively,1
improvment,1
inaad,1
income,1
incompetent,1
industry,1
ine,1
kehru,1
kept,1
kerfafa,1
killed,1
kinda,1
kiyaa,1
knowing,1
ku,1
jamal,1
janalebl,1
jest,1
juhaar,1
junior,1
kamal,1
kamil,1
kana,1
irritating,1
istg,1
itoophiyaa,1
ittttt,1
iwant,1
jaajja,1
jabadhaa,1
jabirabdala,1
installation,1
installed,1
installi,1
internal,1
internationalization,1
intuitive,1
invest,1
irrelevant,1
energy,1
engineer,1
enjoy,1
enkorabetalen,1
later,1
layout,1
lc,1
lead,1
elemoo,1
embi,1
employees,1
emplyees,1
enable,1
enables,1
endidereg,1
endless,1
early,1
ease,1
ecuatorial,1
edit,1
effort,1
ehhhh,1
electric,1
electricity,1
labled,1
lacag,1
laga,1
lagging,1
languages,1
large,1
lastly,1
late,1
downgraded,1
downsides,1
downtime,1
dozen,1
dual,1
dull,1
duplicate,1
linked,1
discomferted,1
discontinue,1
disgrace,1
disorganised,1
displaying,1
disruptions,1
disturbing,1
doomed,1
liking,1
limet,1
limiting,1
dijitalize,1
dirtiest,1
disappointed,1
disappointment,1
disaster,1
learn,1
learned,1
leaving,1
legal,1
lemn,1
lete,1
level,1
likely,1
mandatory,1
manner,1
manually,1
masha,1
massive,1
match,1
matter,1
max,1
mahamad,1
mahamadi,1
maily,1
major,1
makonn,1
malabo,1
mamma,1
managing,1
logged,1
logging,1
looking,1
loosing,1
loss,1
lots,1
lower,1
lug,1
lite,1
litrecy,1
little,1
ll,1
loan,1
local,1
location,1
lock,1
member,1
merchants,1
meseret,1
mesfin,1
metgeyot,1
mewolid,1
mid,1
mind,1
diaspora,1
didnt,1
difference,1
digit,1
digits,1
diiden,1
mehommd,1
melka,1
department,1
deriba,1
detected,1
develoler,1
develop,1
developed,1
development,1
devices,1
maxaad,1
mayreba,1
mba,1
mean,1
mebrahtom,1
delightful,1
deliverd,1
delivered,1
namatii,1
nasir,1
nasty,1
national,1
navigate,1
naw,1
nbe,1
near,1
morning,1
mot,1
motto,1
mubarak,1
muhaammad,1
muktaar,1
multi,1
music,1
mohammed,1
moment,1
monk,1
month,1
monthly,1
mony,1
morconnecting,1
morethan,1
mischievous,1
miss,1
missed,1
mistake,1
miximize,1
mkt,1
mobail,1
modes,1
nic,1
niceapp,1
niho,1
niiceh,1
nonsense,1
normal,1
notification,1
notify,1
deal,1
debugig,1
decided,1
decorative,1
deducted,1
delete,1
newly,1
nformational,1
customization,1
damn,1
damse,1
dantro,1
dash,1
dashboard,1
db,1
deactivated,1
nearby,1
neat,1
necessary,1
needed,1
networks,1
cuatomers,1
currently,1
cursed,1
counting,1
countless,1
countries,1
crash,1
crashed,1
created,1
critical,1
crucially,1
contacts,1
contains,1
convienient,1
convince,1
convinent,1
corrected,1
count,1
counter,1
occasions,1
offers,1
offline,1
ok,1
omg,1
consultant,1
consuming,1
contacted,1
notifying,1
noting,1
nu,1
numbers,1
numerous,1
nuri,1
obsa,1
obvious,1
permanently,1
personally,1
perspective,1
phase,1
physical,1
pile,1
pioneer,1
piss,1
pattern,1
paying,1
perfectlly,1
perform,1
performing,1
period,1
periods,1
perks,1
package,1
painfully,1
participate,1
pass,1
passbook,1
passive,1
past,1
path,1
crushing,1
onlyu,1
opinion,1
optimized,1
os,1
ot,1
ouch,1
outstanding,1
pop,1
potential,1
power,1
ppl,1
practice,1
precious,1
prefect,1
preferrable,1
connectivity,1
connects,1
consequences,1
considerable,1
considering,1
consistent,1
constraints,1
poorest,1
concerned,1
confartable,1
confidence,1
confirm,1
confirmed,1
confuse,1
confusing,1
connected,1
platforms,1
pleasant,1
plenty,1
compare,1
comparing,1
compitators,1
complacency,1
complicated,1
common,1
communicate,1
community,1
companies,1
promote,1
promotion,1
promotions,1
proplem,1
combines,1
comed,1
comfort,1
comfortable,1
comment,1
comments,1
commerce,1
commitment,1
processing,1
proformance,1
cleaning,1
clearing,1
close,1
cluttered,1
collapseed,1
collecting,1
preferred,1
prefrence,1
presize,1
preview,1
previouse,1
principles,1
print,1
problematic,1
reference,1
refuses,1
regarding,1
reinstalled,1
reinstalling,1
relationship,1
release,1
released,1
receipter,1
receive,1
receiver,1
receiving,1
reciept,1
recomend,1
record,1
redminote,1
quick,1
quiet,1
randomly,1
range,1
reach,1
reachable,1
reading,1
reasons,1
provided,1
provider,1
providing,1
provision,1
qualified,1
quality,1
question,1
questions,1
removing,1
repeated,1
replaced,1
reporting,1
require,1
requirements,1
resolve,1
responding,1
chogara,1
choose,1
chooses,1
circle,1
cks,1
clashes,1
class,1
removed,1
career,1
case,1
cases,1
causing,1
centralized,1
challenges,1
chance,1
changing,1
reliably,1
relly,1
remittance,1
remote,1
remove,1
camera,1
capturing,1
cardless,1
burglary,1
businesses,1
busy,1
caalati,1
cadrless,1
calender,1
callcenter,1
robber,1
bro,1
broadly,1
broblem,1
btw,1
bugged,1
bugging,1
build,1
built,1
rijalufaris,1
risk,1
riyad,1
boot,1
boots,1
branches,1
branchs,1
breeze,1
responses,1
responsive,1
restarted,1
restarting,1
restricted,1
restrictions,1
return,1
rid,1
servers,1
set,1
sezzs55s,1
shall,1
shameful,1
share,1
shewangizaw,1
shimalis,1
selections,1
senayt,1
sender,1
senders,1
sep,1
sequenced,1
seriously,1
server,1
saying,1
scammer,1
screenshots,1
searchable,1
second,1
seconds,1
securr,1
select,1
robust,1
run,1
saff,1
sahib,1
samsung,1
sat,1
satisfaction,1
saves,1
boamobile,1
board,1
body,1
boe,1
booster,1
shown,1
shut,1
significant,1
bias,1
bicha,1
biggest,1
biranch,1
birara,1
bist,1
blaming,1
blc,1
belive,1
beloved,1
benchmark,1
beneficiary,1
bentahuuuu,1
beranu,1
berhan,1
betam,1
shiort,1
shoot,1
shopping,1
short,1
beauty,1
becames,1
becouse,1
befor,1
special,1
specialy,1
specific,1
spinning,1
stability,1
stable,1
stacks,1
stage,1
solution,1
solved,1
somalida,1
someones,1
somthing,1
soo,1
sooo,1
sorry,1
slower,1
slowing,1
small,1
smoothen,1
smothely,1
smsng,1
snmsung,1
solid,1
silassie,1
silly,1
simplify,1
single,1
situation,1
situations,1
sleek,1
sleep,1
bauget,1
bayeee,1
bc,1
statment,1
steal,1
steps,1
stole,1
stolen,1
barkhadle,1
barley,1
barrier,1
based,1
bashre,1
basic,1
basically,1
bast,1
banki,1
bankig,1
bankin,1
bankk,1
banners,1
bar,1
barely,1
bari,1
stakeholder,1
starts,1
axrigu,1
backing,1
backwards,1
bakko,1
band,1
banke,1
tap,1
task,1
tax,1
team,1
tech,1
technical,1
technology,1
tecno,1
survice,1
tadass,1
tadesa,1
taking,1
talent,1
tamaam,1
tankyou,1
tankyu,1
suckkkks,1
sucks,1
sudden,1
suffice,1
suggest,1
suks,1
superr,1
supportive,1
stooped,1
store,1
strictly,1
struggle,1
stuck,1
stuff,1
stupid,1
successfully,1
temporarily,1
terms,1
thats,1
thise,1
tho,1
ti,1
tier,1
tigniya,1
attention,1
australia,1
authentication,1
avoid,1
awasome,1
away,1
aweil,1
axmed,1
asledin,1
assessing,1
assured,1
astonishing,1
atleast,1
atlist,1
attach,1
attempts,1
tekebirr,1
telecom,1
telling,1
tells,1
arrive,1
asefa,1
asfaw,1
ashamed,1
appreciated,1
appreciation,1
appricated,1
appropriate,1
april,1
aprshat,1
area,1
arif,1
apdate,1
apkwun,1
apo,1
apollo,1
appeared,1
applications,1
appliciation,1
applied,1
tomorrow,1
ampsa,1
amrumehamed,1
amzing,1
anytime,1
ap,1
apart,1
apdat,1
timeout,1
tinishu,1
tip,1
tips,1
titiba,1
today,1
toggle,1
tolataan,1
unique,1
unnecessary,1
unpredictable,1
unprofessional,1
unserious,1
unstable,1
upgraded,1
uptede,1
ucp,1
umer,1
unacceptable,1
unfa,1
unfortunately,1
unfortunetly,1
uninstall,1
uninterested,1
traxation,1
treated,1
trnes,1
truely,1
trust,1
trusted,1
tulluu,1
typed,1
arranged,1
took,1
tools,1
touch,1
tranfers,1
transacted,1
transparent,1
transportations,1
urgesa11,1
usability,1
usage,1
usb,1
usman,1
usually,1
ver,1
verfcasencod,1
allows,1
altogether,1
alway,1
amaahisan,1
amendment,1
amharic,1
amin,1
amizing,1
affecting,1
aga,1
ahmed,1
alerts,1
alhamdulilah,1
ali,1
alla,1
allowing,1
urgently,1
addressed,1
adds,1
ademtahir,1
admin,1
ads,1
afaan,1
afan,1
withdrawable,1
withdrawal,1
withdrwal,1
woking,1
zone,1
a32,1
wonderfull,1
abrahim,1
abebaw,1
abessnya,1
abfixa,1
abissena,1
willing,1
20,1
wish,1
12yr,1
a34,1
a51,1
aadan,1
abaoli,1
abdrug,1
abdulakim,1
abdulkadir,1
abeaten,1
wami,1
527,1
600000,1
815,1
92,1
95,1
a05,1
a10s,1
friends,1
froudalent,1
fun,1
functions,1
furthermost,1
fyi,1
galatooma,1
gamada,1
willfix,1
fixes,1
flexible,1
fore,1
forest,1
forgotten,1
form,1
freely,1
water,1
waw,1
web,1
weekends,1
welldoingwith,1
werke,1
wifi,1
wiiy,1
abseniya,1
absiniya,1
absurd,1
acc,1
wanna,1
wanted,1
wants,1
waqayyoo,1
