review,clean_text,rating,date,bank,source
bad ግዴታ መሆንሁ,bad ግዴታ መሆንሁ,1,2025-10-17,Commercial Bank of Ethiopia,Google Play
there is many thing u have to fix.,there is many thing u have to fix.,1,2025-07-24,Commercial Bank of Ethiopia,Google Play
Good,good,4,2025-08-18,Commercial Bank of Ethiopia,Google Play
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.","after the recent updates, i am unable to download a receipt. i can t see the names of account holders i ve previously transacted with. very important. please fix it asap.",1,2025-11-03,Commercial Bank of Ethiopia,Google Play
"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.","most of the time when i try to open the app, it does not load. the circle keeps spinning as if it is trying to open, and get a message saying 2 attempts left for offline login . this seems to mean that the app cannot connect to the internet, even though i have a stable internet connection, and all other stuff work properly.",2,2025-09-24,Commercial Bank of Ethiopia,Google Play
I am happy,i am happy,5,2025-08-26,Commercial Bank of Ethiopia,Google Play
Good application,good application,4,2025-11-27,Commercial Bank of Ethiopia,Google Play
nice,nice,5,2025-11-22,Commercial Bank of Ethiopia,Google Play
mobile banking broblem,mobile banking broblem,5,2025-11-01,Commercial Bank of Ethiopia,Google Play
Best app,best app,5,2025-08-18,Commercial Bank of Ethiopia,Google Play
best app,best app,5,2025-11-10,Commercial Bank of Ethiopia,Google Play
APPLIED,applied,1,2025-10-14,Commercial Bank of Ethiopia,Google Play
blah blah blah,blah blah blah,5,2025-10-18,Commercial Bank of Ethiopia,Google Play
great,great,5,2025-07-24,Commercial Bank of Ethiopia,Google Play
very good app 👍👍👍 time saving and more accurate,very good app time saving and more accurate,5,2025-08-09,Commercial Bank of Ethiopia,Google Play
the app does not open,the app does not open,1,2025-09-07,Commercial Bank of Ethiopia,Google Play
not allowing to transfer and showing current statement updates.,not allowing to transfer and showing current statement updates.,1,2025-11-19,Commercial Bank of Ethiopia,Google Play
Easy to use and not Complicated 👍,easy to use and not complicated,5,2025-09-15,Commercial Bank of Ethiopia,Google Play
bist app tankyou,bist app tankyou,4,2025-09-23,Commercial Bank of Ethiopia,Google Play
good app,good app,5,2025-10-28,Commercial Bank of Ethiopia,Google Play
Make it user friendly.,make it user friendly.,2,2025-11-29,Commercial Bank of Ethiopia,Google Play
wow,wow,5,2025-07-25,Commercial Bank of Ethiopia,Google Play
great,great,5,2025-09-12,Commercial Bank of Ethiopia,Google Play
ok,ok,5,2025-07-09,Commercial Bank of Ethiopia,Google Play
Very interesting 🤔,very interesting,5,2025-08-10,Commercial Bank of Ethiopia,Google Play
best,best,5,2025-09-10,Commercial Bank of Ethiopia,Google Play
Numbers 2 and 3 don't write during pin verification.,numbers 2 and 3 don t write during pin verification.,5,2025-11-05,Commercial Bank of Ethiopia,Google Play
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this","it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,Commercial Bank of Ethiopia,Google Play
good,good,5,2025-08-26,Commercial Bank of Ethiopia,Google Play
እስክሪን ሹት አይሰራም ለምን ተዘጋ?,እስክሪን ሹት አይሰራም ለምን ተዘጋ?,2,2025-07-17,Commercial Bank of Ethiopia,Google Play
Okay 👍,okay,5,2025-07-13,Commercial Bank of Ethiopia,Google Play
cbe the best bank app,cbe the best bank app,4,2025-10-03,Commercial Bank of Ethiopia,Google Play
I love this app b/c every option in the app very clear and supportive.,i love this app b c every option in the app very clear and supportive.,5,2025-10-30,Commercial Bank of Ethiopia,Google Play
I appreciate it,i appreciate it,5,2025-09-01,Commercial Bank of Ethiopia,Google Play
very important app,very important app,4,2025-09-21,Commercial Bank of Ethiopia,Google Play
"The CBE MB app is best and updated with so many features from time to time,but it is impossible to download statements. if it is possible please add a statement download option for both the app and USSD.","the cbe mb app is best and updated with so many features from time to time,but it is impossible to download statements. if it is possible please add a statement download option for both the app and ussd.",2,2025-07-11,Commercial Bank of Ethiopia,Google Play
Mamma Husen,mamma husen,2,2025-10-11,Commercial Bank of Ethiopia,Google Play
good👍👍👍😊😊😊,good,5,2025-10-10,Commercial Bank of Ethiopia,Google Play
"I like this App b/s it's fast, clear, and secured. thank you","i like this app b s it s fast, clear, and secured. thank you",5,2025-07-17,Commercial Bank of Ethiopia,Google Play
Not Prefect Transfer To Other Bank The Mony Not Deliverd Imidetliy Take Three Or Five Days,not prefect transfer to other bank the mony not deliverd imidetliy take three or five days,1,2025-08-27,Commercial Bank of Ethiopia,Google Play
why this app is logging in while your device is not connected to internet ... is it appropriate ?... and it isnt exposed to hucking or malicious activity?,why this app is logging in while your device is not connected to internet ... is it appropriate ?... and it isnt exposed to hucking or malicious activity?,1,2025-08-12,Commercial Bank of Ethiopia,Google Play
