review_id,review_text,rating,review_date,user_name,thumbs_up,reply_content,bank_code,bank_name,review_version,source,clean_text,text_length,sentiment_score,sentiment_label,keywords,identified_themes,tb_polarity,tb_subjectivity,tb_sentiment,vader_compound,vader_sentiment
180bed10-eda6-4491-84cf-93d55ff8d92c,This app is incredibly frustrating to use. It’s filled with issues that make it difficult to navigate and complete tasks efficiently. I’ve never encountered such a poorly designed banking application before. It needs significant improvements to enhance user experience. It deserves a vey low rating.,1,2024-09-26,Christopher Edward,10,,BOA,Bank of Abyssinia,,Google Play,this app is incredibly frustrating to use. it s filled with issues that make it difficult to navigate and complete tasks efficiently. i ve never encountered such a poorly designed banking application before. it needs significant improvements to enhance user experience. it deserves a vey low rating.,299,-0.053125000000000006,neutral,"ve encountered, deserves vey, complete tasks, application needs, experience deserves, frustrating use, low rating, filled issues, vey low, vey",Other,-0.053125000000000006,0.684375,neutral,-0.2484,negative
5d940978-07d3-41d9-81b1-74867eb724a3,The App's crash always.. Error.....,3,2024-09-27,Anteneh Car Sale,0,,BOA,Bank of Abyssinia,24.07.04,Google Play,the app s crash always.. error.....,35,0.0,neutral,"crash error, crash, app crash, error, app",Other,0.0,0.0,neutral,-0.4019,negative
1afdfab9-884b-4dd2-9881-a468a0eb567f,Very easy to use,5,2024-09-30,Yamle Abiy,1,,BOA,Bank of Abyssinia,24.07.04,Google Play,very easy to use,16,0.5633333333333334,positive,"easy use, easy, use","User Interface & Experience, Other",0.5633333333333334,1.0,positive,0.4927,positive
4cbbb09a-77c0-45b2-89e6-784c7186918b,Great For Financial company,5,2024-09-30,Ayana Andualem,1,,BOA,Bank of Abyssinia,24.07.04,Google Play,great for financial company,27,0.4,positive,"great financial, financial company, company, financial, great",Other,0.4,0.375,positive,0.6249,positive
2755e189-b073-4641-897e-3cfa2aa25a25,Wwwerrr,5,2024-10-02,Kuma Nasbu,1,,BOA,Bank of Abyssinia,24.09.30,Google Play,wwwerrr,7,0.0,neutral,wwwerrr,Other,0.0,0.0,neutral,0.0,neutral
510eb8c1-9b58-4989-bdd1-674fa63c3d08,The worest app ever,1,2024-10-03,Sen hit,0,,BOA,Bank of Abyssinia,,Google Play,the worest app ever,19,0.0,neutral,"worest app, worest, app",Other,0.0,0.0,neutral,0.0,neutral
cd089947-bc9a-41cf-a17d-9bf390c91485,Worest app,1,2024-10-03,Adu delu,0,,BOA,Bank of Abyssinia,24.09.30,Google Play,worest app,10,0.0,neutral,"worest app, worest, app",Other,0.0,0.0,neutral,0.0,neutral
b4f29388-db8b-4ce7-9539-82a8c57b071a,I'm living out of country how may I download and use mobile banking? It asks me the Ethiopia phone number and I can't receive text to confirm because I'm out side the country. So please lete know if I can use while I'm outside the country. Thanks,1,2024-10-04,Pastor Yirdaw Tessema,1,,BOA,Bank of Abyssinia,24.09.30,Google Play,i m living out of country how may i download and use mobile banking? it asks me the ethiopia phone number and i can t receive text to confirm because i m out side the country. so please lete know if i can use while i m outside the country. thanks,246,0.1,neutral,"country, use, lete, outside country, living country, download use, use mobile, receive text, receive, know use",Other,0.1,0.125,neutral,0.7344,positive
94ba00d0-c2e8-4e21-9e71-af2395f2d0ca,"Stop telling me what to do with my phone, BOA. Why does your newly updated app keep asking me to disable the developer options? I’m not slowing down my phone just to use your God damn app. 🤮🤮🤮🤮",1,2024-10-04,Eyuel Hailu,16,,BOA,Bank of Abyssinia,24.09.30,Google Play,"stop telling me what to do with my phone, boa. why does your newly updated app keep asking me to disable the developer options? i m not slowing down my phone just to use your god damn app.",188,-0.009595959595959602,neutral,"phone, options slowing, god, newly, use god, slowing phone, slowing, does newly, just use, damn app",Other,-0.009595959595959602,0.3717171717171717,neutral,-0.4215,negative
3a05c496-6385-4903-b2f5-54f69bdd8ee7,Update to the simplest way it requires the developer option on and off why this is,5,2024-10-04,Habtamu Tolla,58,,BOA,Bank of Abyssinia,24.09.30,Google Play,update to the simplest way it requires the developer option on and off why this is,82,0.0,neutral,"update simplest, way requires, simplest way, requires developer, simplest, developer option, requires, way, option, developer","Feature Requests, Other",0.0,0.0,neutral,0.0,neutral
ab760759-00d0-43fd-9267-f1d3f34a74e6,Just make it work please🤣 this is embarrassing for a bank of your size,1,2024-10-04,basi s,0,,BOA,Bank of Abyssinia,24.09.30,Google Play,just make it work please this is embarrassing for a bank of your size,69,0.0,neutral,"just make, work embarrassing, embarrassing bank, bank size, size, embarrassing, make work, just, make, work",Other,0.0,0.0,neutral,-0.0772,negative
ac7391a6-712b-424c-970d-6dba1a0dd845,Overall good app but performance needs some improvement also sometimes when using instant other bank transfers it refuses causing to be repeated several times to transfer,4,2024-10-04,neo,1,,BOA,Bank of Abyssinia,24.07.04,Google Play,overall good app but performance needs some improvement also sometimes when using instant other bank transfers it refuses causing to be repeated several times to transfer,170,0.11499999999999999,positive,"times transfer, overall good, refuses causing, refuses, needs improvement, performance needs, using instant, repeated times, transfers refuses, repeated","Transaction Performance, Other",0.11499999999999999,0.3283333333333333,positive,0.714,positive
d1c75600-5e8d-416b-8627-b3700bc64633,Nise mobile bankig,4,2024-10-05,Wendwesn Seifu,0,,BOA,Bank of Abyssinia,24.09.30,Google Play,nise mobile bankig,18,0.0,neutral,"nise mobile, mobile bankig, bankig, nise, mobile",Other,0.0,0.0,neutral,0.0,neutral
1d49e80a-b12c-4cd5-abd9-b9b2d6612d64,If it is possible I would gove0 star,1,2024-10-08,Feven Mekael,0,,BOA,Bank of Abyssinia,24.09.30,Google Play,if it is possible i would gove0 star,36,0.0,neutral,"possible gove0, gove0 star, gove0, possible, star",Other,0.0,1.0,neutral,0.0,neutral
e3dac0d5-d198-42ee-8536-2d6fd0365164,Best app to me,5,2024-10-11,Abdu Ahme,1,,BOA,Bank of Abyssinia,24.09.30,Google Play,best app to me,14,1.0,positive,"best app, best, app",Other,1.0,0.3,positive,0.6369,positive
a526225b-3f7c-4dd0-8772-8ce18eea7318,Abdulkadir,5,2024-10-11,Abdulkadirsulti Kedir,1,,BOA,Bank of Abyssinia,24.09.30,Google Play,abdulkadir,10,0.0,neutral,abdulkadir,Other,0.0,0.0,neutral,0.0,neutral
5d22ff1e-78a6-4da7-8128-fa0bfd0f4850,Good App,4,2024-10-12,Mehdi Dersie (መኸዲ),0,,BOA,Bank of Abyssinia,24.09.30,Google Play,good app,8,0.7,positive,"good app, good, app",Other,0.7,0.6000000000000001,positive,0.4404,positive
df4d9c87-1a87-4a1d-8900-581c52470725,A painfully slow banking app service. Please don't make it your choice!,1,2024-10-13,Mintesinot Desalegn,0,,BOA,Bank of Abyssinia,24.09.30,Google Play,a painfully slow banking app service. please don t make it your choice!,71,-0.37500000000000006,negative,"painfully, make choice, painfully slow, service don, slow banking, don make, app service, choice, don, make","Transaction Performance, Other",-0.37500000000000006,0.39999999999999997,negative,-0.3382,negative
