review_id,clean_text,keywords,identified_themes,bank_name,rating
d7273bdf-94a5-4b02-89ec-4a863195ea29,the underrated app i've ever seen and ur banking system is soo idiocracy,"soo, ur, banking, app","Mobile Banking Features, Fees & Charges",Bank of Abyssinia,1
dc201a15-30b2-4d8b-8754-0ecc2db8130b,"the app used to run fine, but now it takes like forever to even open the main dashboard and sometimes it just crashes on its own. you guys gotta step it up. we need this app to be way faster","main, need app, app way, app run, dashboard, run, forever, fine, guy, way","Transaction Performance, App Reliability & Bugs, Mobile Banking Features",Bank of Abyssinia,1
9d5f10f6-476f-4b3d-85f9-7ea5e52bdad7,excellent app,"excellent app, excellent, app","Customer Support, Mobile Banking Features",Bank of Abyssinia,5
c47517ad-7dbb-46ed-864d-4b898aff2b23,this app doesn't work,"app work, work, app",Mobile Banking Features,Bank of Abyssinia,1
764b8c59-0297-4141-a7c7-89ed28801671,best,,General Feedback,Bank of Abyssinia,5
3c94365a-df7a-44a6-a947-4e40d575efdc,please recover thank you,thank,General Feedback,Bank of Abyssinia,5
f402174e-b7fe-45b9-9140-7648c19fdd33,please make it functional.,functional,Mobile Banking Features,Bank of Abyssinia,5
196ffa19-91c5-4f11-9427-cff840f683e1,its best app but its don't working in poor connection area so,"area, connection, poor, app work, good app, work, good, app",Mobile Banking Features,Bank of Abyssinia,5
1bdac495-0844-4896-b693-213485aad561,i can't believe in this day and age one of the major banks of the country can't seem to understand that having a working mobile payment option is a must to survive i have decided to move my accounts to cbe and awash because of this can't be bothered with this useless app,"payment option, understand, cbe awash, bank country, decide, believe, major, awash, useless app, country","Mobile Banking Features, Account Access Issues, Transaction Performance",Bank of Abyssinia,1
61368724-0edf-4e9e-89fa-24210bf530ad,is it even working these days? please check it.,"work day, check, day, work",General Feedback,Bank of Abyssinia,1
53214d92-a487-43cb-b69d-b65294b40823,"the app is essentially unusable, it asks to disable developer mode even when it is already disabled and crashes, sometimes it only works with wifi and sometimes only with data, or it crashes just because.......","crash, wifi, disabled, crash work, ask disable developer, ask disable, disable developer, datum, disable, developer mode","Transaction Performance, App Reliability & Bugs, Mobile Banking Features",Bank of Abyssinia,1
e4760475-c6dd-4530-8aea-beeef1371e3f,miliyone.,,General Feedback,Bank of Abyssinia,5
6d67dca3-b643-462f-bfac-f49811eb1473,it usually crashes and unable to process also it request to off the developer options,"usually crash, usually, process, request, unable, developer option, crash, developer, option","Transaction Performance, App Reliability & Bugs",Bank of Abyssinia,1
eb3fc431-4145-4276-990f-496c764b7ea7,"from now on i will never going to use this app, it is a trash app. no one care about this app from bank i will rate them 0 5","trash app, rate, care, trash, app bank, use app, app, use, bank","Mobile Banking Features, Fees & Charges",Bank of Abyssinia,1
402ea96f-df73-4dab-a929-4c66f64adce7,"it is so bad apps ,it doesn't work","app work, bad app, bad, work, app",Mobile Banking Features,Bank of Abyssinia,1
ecca0ed7-ddf3-4dbe-ba38-145eca8dea76,very good app,"good app, good, app",Mobile Banking Features,Bank of Abyssinia,5
5921455b-b0e2-4cc1-90a3-92ff67166c47,good but very slow.,"slow, good",Transaction Performance,Bank of Abyssinia,1
5f80fcab-9967-4c8a-8e42-fe8ecfca0f11,error occurred try again for 5 days tele birr user not found,"try day, tele birr, tele, birr, error, day, try, user",App Reliability & Bugs,Bank of Abyssinia,1
986b160c-cade-4ae5-918e-eddd2802d4d8,after update it doesn't work well,"update work, update, work",App Reliability & Bugs,Bank of Abyssinia,2
9d157253-6414-46f1-a2f3-0867fbd3f25d,pretty good for a banking app it still lacks some things with in the ui and with the speed of the app but overall it's a good application thank you 5 5,"overall good, pretty good, pretty, good application thank, lack, good banking app, app overall, application thank, speed, good banking","Transaction Performance, User Interface & Experience, Mobile Banking Features",Bank of Abyssinia,5
999a858d-cb31-4660-aba7-ccda89f5e06a,too late!,late,General Feedback,Bank of Abyssinia,1
8056e337-2fa8-44c9-9017-083b0009d534,no work,work,General Feedback,Bank of Abyssinia,5
94d435e8-8e1a-43e6-8a3c-bd755d66064e,the app keeps crashing it stops responding while i'm using it or trying to open the app. now i have to go to the bank in person to do any banking activities. in short it is the worst mobile banking system in ethiopia,"short, try open app, try open, banking activity, bank person, banking, respond, mobile banking ethiopia, activity, banking ethiopia","Mobile Banking Features, App Reliability & Bugs",Bank of Abyssinia,1
9585bf0d-1dbb-4890-bd88-51cd6f86b0ba,useless,useless,General Feedback,Bank of Abyssinia,1
